11212202, 12212246, 11212217, 12212216, 22121142, 21111224, 12212248, 12212217, 11212221, 11212227, 21111234, 22121104, 22121122, 12212246, 22121106, 22121106, 12212231, 12212234, 22121148, 12212244, 22121137, 11212232, 21111224, 12212204, 11212248, 11212211, 11212245, 21111205, 11212205, 22121141, 21111201
21111206, 12212206, 21111242, 22121124, 11212204, 11212213, 12212203, 21111247, 22121125, 11212205, 22121138, 12212217, 21111232, 11212246, 22121117, 22121116, 22121142, 11212246, 22121115, 21111227, 22121107, 22121118, 22121144, 11212237, 22121132, 11212202, 21111237, 22121125, 11212205, 21111232, 12212202
12212201, 11212212, 12212202, 21111211, 12212245, 11212223, 11212203, 22121103, 11212225, 21111216, 12212242, 22121146, 12212224, 12212215, 22121114, 12212226, 12212215, 21111238, 21111222, 21111213, 12212238, 11212217, 12212207, 22121125, 21111223, 22121147, 11212207, 21111232, 22121128, 21111208, 11212244
22121106, 22121106, 11212233, 11212203, 21111203, 12212236, 12212215, 11212223, 11212225, 21111241, 11212218, 21111208, 22121135, 11212241, 11212212, 22121128, 22121122, 21111237, 21111243, 11212247, 11212243, 22121103, 12212247, 11212232, 21111224, 11212213, 11212247, 11212218, 21111217, 21111243, 11212203
11212201, 12212245, 22121114, 12212231, 12212245, 12212205, 22121138, 22121111, 12212245, 22121123, 22121138, 21111211, 22121101, 21111245, 21111227, 22121116, 11212233, 21111203, 12212225, 11212216, 22121142, 11212224, 11212248, 11212244, 21111222, 11212202, 21111224, 11212215, 21111232, 21111202, 21111246
12212204, 11212204, 12212215, 12212223, 21111212, 22121146, 11212242, 22121146, 12212206, 11212242, 11212235, 12212205, 12212241, 12212245, 22121127, 21111234, 11212222, 12212246, 21111228, 22121133, 12212203, 22121121, 22121123, 22121136, 22121131, 22121127, 11212225, 21111238, 22121144, 21111226, 21111231
21111201, 22121145, 12212232, 22121113, 12212214, 12212204, 11212237, 22121125, 21111241, 12212227, 22121132, 12212228, 21111244, 11212231, 22121123, 22121147, 11212243, 12212247, 11212243, 21111236, 12212242, 11212224, 21111222, 21111202, 12212224, 12212222, 22121102, 21111202, 12212235, 21111238, 21111235
22121108, 22121122, 12212228, 22121144, 22121126, 12212206, 22121106, 12212215, 22121138, 21111235, 11212216, 22121133, 21111238, 12212235, 21111223, 11212236, 22121106, 21111228, 11212222, 22121124, 12212226, 22121115, 21111214, 12212213, 21111247, 21111218, 22121135, 11212214, 21111237, 21111243, 21111221
21111207, 11212243, 22121138, 22121144, 21111237, 12212221, 21111201, 11212245, 21111238, 22121108, 21111226, 21111228, 22121117, 22121132, 22121102, 12212228, 11212222, 11212235, 22121127, 22121118, 21111217, 12212216, 22121115, 12212216, 21111224, 11212231, 12212218, 12212233, 21111236, 21111217, 11212232
12212204, 12212215, 11212216, 11212206, 12212217, 22121107, 21111207, 22121116, 22121128, 11212244, 22121131, 21111245, 22121141, 22121127, 22121118, 12212244, 22121137, 21111207, 22121107, 11212232, 21111224, 11212213, 21111214, 22121122, 11212237, 22121118, 12212208, 21111211, 22121134, 21111248, 22121108
